name,role,company,bio,dates
Thomas Schreiber,Partner,Korra Ventures,"Thomas  is a Partner at Korra Ventures, an angel syndicate backing underrepresented impact founders, and has been a  lead mentor for past Techstars cohorts. With 14 years at Google scaling a $1B+ business and an early role at Shazam, he has deep expertise in go-to-market, sales, and operational leadership. Drawing on a thorough understanding of fundraising, Thomas offers real-world insights and actionable feedback to help founders confidently tackle key challenges.",2025-03-31
Kathryn Larin,,,,
Pete Trainor,"Global Ai Strategy & Design Lead
",MSQ,"Hello. I'm Pete and I am an experienced Product, Ai, UX and Design Strategy leader, with vocational expertise in Applied Ai and emerging technologies, based in London. 

I have over 20 years of hands-on experience dedicated to developing and implementing data-driven service design strategies and products that address business challenges, ethical risks and the societal impacts for new technologies. I'm referred to as a thought leader in my field, but I consider myself to be more of team player with a passion for solving complex problems together.

“I’m a total equaliser — Technology is a team sport. We solve it, not me or I. A Victory Royale in Fortnite always tastes better in a squad than a solo.”

I try to combine an acute understanding of human behaviour with technical knowledge to help create innovative solutions that not only enhance user experience but also align with ethical and governance standards. As a business lead I have collaborated with governments, tier-one tech companies, and international organisations to develop robust frameworks, approaches and policies that promote responsible technology integration and use.

An occasional author and influential speaker, I’d like to think some of my insights have significantly shaped contemporary technology, but also policy and practice.

Beyond my focus on Service Design, Innovation and Ai, I am passionate about leveraging technology to improve societal systems and address global challenges. My approach is holistic, integrating design thinking, strategic foresight, and ethical considerations to drive impactful change. I have a single guiding philosophy; ""Don’t do things better, do better things.""

I wrote some books, battled through dyslexia, and want to try and leave the world a little bit better than how I found it.",2025-03-28
Marina Gorey,High Performance Culture Consultant ,"High Performance Culture Consultant xCo-Founder and CPO SuperAwesome (exit to Epic Games), xCPO Griffin, xCPO Lick, xPeople at Seedcamp. xEIR Techstars.","Marina Gorey is a High-Performance Culture Coach, and Co-Founder of SuperAwesome (acquired by Epic Games). She works with high potential companies to build scalable high-performance cultures.

Drawing on her experience as Co-Founder and CPO at SuperAwesome, CPO at Griffin and Lick, People Lead at Seedcamp, and EIR at Techstars, Marina’s mission is to help leaders cultivate cultures where individuals thrive and teams achieve extraordinary results.

Marina played a key role in helping SuperAwesome become one of the UK’s fastest-growing tech companies in 2018. She also contributed to Lick's recognition on Newsweek’s Top 100 UK Workplaces list in 2022. In 2023, she supported Griffin in successfully securing its banking license.

Marina regularly speaks on the subjects of culture and leadership. She has served on the Board of Banjo Robinson, and is recognised as a Techstars All-Star Mentor.",2025-04-02
Berkan Sesen,Founder & AI Entrepreneur,Tinie.ai,"Develops AI healthcare solutions (e.g., Recallify memory app), focuses on neurotech",2025-03-24
Shahryar Barati,Founder and Director,Project Ventures,"Shahryar Barati is a 3x Imperial alumnus (BEng, MSc, MBA) and the Founder & Director of Project Ventures, where he is building an early-stage fund backing AI-driven startups, with a particular focus on healthcare, financial services, and the future of work. As a former startup operator and VC investor, he helps founders navigate the fundraising landscape, refine their investment strategy, and position themselves for successful funding rounds.

Previously, he was Head of Investment Funds at Capital Pilot, where he oversaw 50+ early-stage investments and developed an investability rating system assessing 3,000+ startups. His background also includes asset management at JP Morgan, giving him a well-rounded understanding of investment dynamics from both sides of the table. His journey through Imperial College London has been instrumental in shaping his investment approach, leveraging the Imperial network and ecosystem to support high-growth startups.",2025-03-26
Robbert van Os,Tech Simplifier & Business Amplifier - Digital Audit & Growth Strategist,BackupCTO B.V.,"Serial entrepreneur and technical growth strategist who bridges the gap between business vision and technical execution. Having built multiple companies and worked on the investment side, I bring dual perspective to startup challenges.

I excel at helping founders—especially those with non-technical backgrounds—translate commercial goals into practical technical strategies. My expertise includes CXO advisory, technical due diligence for VCs/PE firms, and growth readiness assessments.

What sets me apart: I don't just identify opportunities—I help you execute on them. I'm selective with my time but committed to meaningful partnerships that accelerate your growth journey.",2025-04-02
Mark Gaffney,CEO,Mark Gaffney,"With over two decades shaping the future of technology and business, I've embraced the journey of entrepreneurship and remain driven by a passion for innovation and a commitment to excellence. My mantra, ""life is for learning,"" fuels my approach to every challenge and opportunity.

My fascination with technology's potential to transform businesses and lives led me down a path of continuous exploration and growth. From founding multiple tech startups to consulting for global enterprises, my mission has been to unlock potential and drive meaningful change.

My journey has equipped me with a unique blend of skills - from navigating the complexities of AI and digital transformation to mentoring startups set for rapid growth. My approach is not just about solutions but about crafting strategies that are sustainable, innovative, and tailored to each unique challenge be that technology, commercialisation or innovation, no two businesses are ever the same. 

I've had the privilege of leading teams to develop groundbreaking technologies, driving growth in many sectors through strategic partnerships with some of the world’s largest companies, and guiding startups from ideation to market entry and success. My diverse experience across many industries has not only honed my skills but also expanded my global network of collaborators and innovators.",2025-03-25
Gianmarco Iannello,Principal,KKR,"Gianmarco is a private equity investor at KKR, where he is a member of the Financial Services & Fintech team within the firm’s European Private Equity platform. Since joining KKR in 2022, he has been involved in the firm’s investments in APRIL, France’s largest wholesale insurance broker, where he serves on the Board of Directors, and Söderberg & Partners, the leading wealth manager in the Nordics. 

Prior to KKR, he spent four years at Permira, focusing on buyout and growth investments in the financial and business services sectors. During his time there, he played a key role in the firm’s investment in Alter Domus, a global leader in fund administration, where he was also a board observer. 

He began his career at Perella Weinberg Partners, a boutique investment bank, where he specialised in the telecom sector and had the opportunity to work on BT's £12.5bn acquisition of EE, amongst other transactions. 

He holds a BSc in Economics from University College London. Passionate about education and social impact, he serves as a trustee of the United World College of the Adriatic (https://www.uwcad.it/) and as trustee & CFO of Global Brigades UK (https://www.globalbrigades.org/). Outside of work, he enjoys traveling, kitesurfing, and diving—and aims to workout at least once in all Barry's Bootcamps around the world!",
Beth Carter,Director of Growth,Flexa,"Beth is an expert on startup growth and an angel investor. She has been featured in Sifted and TechEU, and has spoken at the Copenhagen Business School, Rare Founders and Founders Factory. Beth coaches on the SYSTM growth accelerator and works with a number of founders to support their growth. 

She can help with Growth and Product strategy as well as practical advice to help you build out and prioritise a growth process. ",2025-03-31
Tarjei Lode,Chief Financial Officer ,Nordic Unmanned ASA,"Tarjei has extensive experience as an operator and investment professional in companies from idea stage to publicly listed companies. His main focus is within business transformation (scale-ups, turnarounds etc.).",2025-04-02
Tom Meyer,Principal Engineer,Personio,"I am an AI leader with 16 years of experience building and shipping AI-based products to market. I have built and led teams at Facebook/Meta and at numerous startups, and worked hands-on in product, front-end and infra. I was the 16th employee at Dropbox and built their Android app.",2025-03-26
Nick Thain,"Co-founder, Chief Investment Officer",85 Degrees Renewable,"Nick is an entrepreneur, excelling in diverse sectors such as renewable energy, social media, online sport publishing, and artificial intelligence. Known for his leadership and strategic thinking, he is particularly recognised for his ability to close deals and deliver results.

As CEO, Nick guided his companies through the complexities of IPOs, reverse takeovers, and personally closed investments totalling $190 million. He has successfully co-founded and listed two businesses across the UK, Canada, and US stock markets",2025-04-01
Dominic James,Founder / CEO,Future Centric,"Dominic is the Founder / CEO of Future Centric, a company focused on helping healthcare leaders achieve 10x improvements in health outcomes through innovative digital technologies, enabling every human to maximise their opportunity for a healthy life.

He brings over two decades of experience in Life Sciences (ex-Global Health Innovation Leader for Merck), Management Consulting (Co-Founder / Partner: Change Effect, Deloitte, SBC) and Data Science, and works with an extensive global network across the health & technology ecosystem. 

Dominic is on the Advisory Board of Health Start-ups, a stealth co-founder, start-up mentor (TechStars / Mass Challenge), and speaker. He is the host of Health in Hyperdrive, the podcast where he discusses the innovations shaping the future of healthcare with expert guests e.g. Space Health, Cancer Vaccines, Robotic Surgery, AI-Driven Consumer Healthcare, Nano Medicines

He holds a BSc in Mathematics & Computing and an MSc In Management Science. Dominic has lived and worked globally, including extended periods in the US, Asia (Singapore, Japan, China), and Europe, and is now based in London, UK.",2025-03-31
Serena Martin,"Managing Director, Business Innovation",Co:cubed,"I am an experienced strategic leader with a love of venture building, high growth and early stage businesses, developed across a career spanning startups, consultancy and corporates.
I currently work for a firm that partners large corporates and brands with startups to help scale new technologies. I previously ran the CVC / Innovation Fund within BBC Studios – investing in and striking strategic partnerships with startups across AI, Web3, social media, gaming and ed tech.  I supported these ventures from Pre-seed to Series D raises and used my corporate network and access to IP to enable them to scale and access new sources of funding. I'm still working with the BBC on an AI project to find effective ways to train LLMs on the BBC's highly trusted news 50 year old archive.
I have also been a Co-Founder – I was also Employee No. 2 and Chief Commercial Officer at BritBox International in the US, overseeing its trajectory from a germ of an idea, to a $200m+ revenue business across eight global markets with 130 employees, achieving profitability in 18 months. The business sold recently for $650m.",
Fraser Hardy,CTO,Red Ant,"As an exited founder of Qudini, where I scaled a SaaS business from a hackathon project to an international product with enterprise clients, I bring 11 years of startup experience. Now, I work as a fractional CTO, helping startups optimize their technical strategy, and I’m also building my own bootstrapped AI project. My expertise spans product development, engineering leadership, security and compliance, and scaling on a budget. I help early-stage startups navigate the challenges of achieving product-market fit, optimising technical architecture, and building sustainable, high-performance SaaS solutions.",2025-03-26
Alessandro Hatami,"Managing Partner, Co-Founder",Pacemakers.io,"Corporate serial entrepreneur focused on FinTech innovation. Former COO of Digital Banking at Lloyds, MD of PayPoint.net, and Director at PayPal. Author of Reinventing Banking (2021) and mentor at Techstars/Seedcamp.",2025-03-31
Harriet Lester,Launch Associate  ,Pioneer Group,"Harriet is an Associate at The Pioneer Group, the largest investor and operator of life sciences campuses across the UK and Ireland. She works with the Launch venture development programme, supporting innovative companies in drug discovery, medical devices, diagnostics, digital health, and therapeutic platforms. Harriet holds a PhD in Biochemistry from the University of Oxford and has extensive experience working with startups through SOSV, Techstars, and Zinc VC, providing mentorship and investment. She specialises in venture growth and strategy, guiding founders through fundraising and business development.",2025-04-01
Michael Kedda,Co-Founder & CPTO,DIY Earth,"Product leader in climate tech, health and education with deep expertise in AI, IoT, web3 and marketplaces. Startup and growth wins, multiple hard-fought exits, couple patents. I help founders solve difficult problems, large and small.",
Luca Grulla,CTO,Grulla ,"With 20 years of experience, Luca is a proven expert in building and leading successful technology organizations and products. He has worked with startups and enterprises, and his expertise covers both B2B and B2C. More recently, he served as CTO at Signal AI, the leading ML platform that empowers users to make informed decisions. Additionally, he acts as an advisor to startups and technology leaders within the tech industry.",2025-03-25
Geraint Thomason,CRO,MaxTAF,"Geraint Thomason is a highly-experienced technology sales leader. He has worked with start-ups and established tech businesses to increase their sales effectiveness and improve their performance. He has mentored on fifteen previous Techstars programmes.

Geraint has led major sales functions at IBM, EMC and Colt, including leading teams serving clients across Europe and the US. Adding to his private-sector board experience, Geraint has been a Non-Executive Director and Trustee for a number of voluntary-sector organisations.

Geraint is a graduate of Oxford University, holds an MBA from Warwick Business School and lives in London, where he serves as a magistrate.",2025-03-24
Csongor Barabasi,Founder & CEO,Bonsai Labs,"Csongor is the founder of Bonsai Labs, an AI implementation partner for scaleups and F1000 companies. Previously he was VC-backed founder (backed by Seedcamp and Fintech Collective), and Head of Engineering at Weezy ($20m Series A).",2025-03-25
James Dening,Operating Partner,Target Global,"I work for Target Global as an Operating Partner, driving value within our existing portfolio through advising on GTM strategy and mentoring and supporting our cohort of CEOs. 

Prior to that I was the CEO of Minit Process Mining, which I led to a successful acquisition by Microsoft in 2022. Subsequent to that I was part of the team that took UltimateSuite to a successful acquisition by ServiceNow in 2023 as executive chairman. 

I also work as a portfolio non-executive director and chairman, mainly around the B2B software and SAAS space. I'm also an Angel investor. I'm always looking for interesting and relevant opportunities to either invest or advise. 

Previously, I held senior positions at Amazon, Google EMEA, Red Gate Software, and Automation Anywhere, where I was the GM EMEA growing revenue from zero to tens of millions per year and building a team of over 250 people across Europe in sales, marketing, partner management, partner enablement, HR, talent acquisition, finance, legal and much more. ",2025-03-24
Philip Howson,CTO,Iona Mind,"Most recently, I co-founded Iona Mind, a Y Combinator-funded startup in the behavioral health space, alongside a co-founder I met while mentoring for Techstars Fintech in 2016.

Prior to my entrepreneurial ventures, I worked at GSA Capital, a quantitative hedge fund, where I was among the first members of the automated FX trading team. This team later spun out to form XTX Markets, where I became a partner. I retired from XTX Markets in April 2016, by which time it had grown into one of the world’s largest systematic trading firms.

Earlier in my career, I was part of Morgan Stanley’s technology division, developing systems for algorithmic trading, with a focus on automated proprietary trading strategies in fixed-income securities. Following my time at Morgan Stanley, I joined UBS on their Equity Smart Execution team before transitioning to a proprietary trading desk specializing in algorithmic strategies. Unfortunately, that desk shut down in 2007, leading me to Barclays Capital. There, I worked on the Barclays Analytical Trading Systems (BATS) team, once again focusing on automated fixed-income trading.",2025-03-26
David Mareels,Now: VP Product Management. Previous: CEO and Co-Founder,"Sophos (previously, SOC.OS)","Mechanical engineer turned cyber SaaS tech founder. I served as co-founder and CEO of SOC.OS, a SaaS spin-out from the BAE Systems Cyber Incubator (previously known as Detica). The spin out was made possible with a £2m seed investment from Hoxton Ventures (Hussein Kanji was on our board and I'm now an LP in Hoxton), and Speedinvest. We lasted 1yr and 10months before Sophos (a Thoma Bravo backed global cyber company) acquired us for decent 8 figure amount (which is the classic tech tuck in acquisition playbook. We achieved a 466 multiple on revenue....our revenue was small, but it was still a great exit for all involved and I learnt a load). 
Fast forward the clock to today, 2.5yrs post exit, all of my ex-startup team members are still working together at Sophos and we successfully integrated our technology into the Sophos stack and have generated significant revenue as a result. I can now see we sold for too cheap, but hindsight is 20-20. I now lead the Managed Detection and Response side of the business which is approaching $500m ARR and still growing at top of CAGR rates.
Come and chat if you want to talk about company building, product management, B2B SaaS and Services direct and indirect sales, VC backed startup vs PE backed enterprise, how to prepare for and navigate a successful exit, and how to ensure it's a success once you're on the other side, cyber security (mainly the Security Operations space). I'd love to hear about your journey! ",2025-03-28
Wyndham Plumptre,CEO,Future Arc,"I have bootstrapped a digital agency and venture studio over the last 8 years growing to 30+ people delivering work in the UK and internationally working with blue chip enterprise brands. On top of that I have led the development of, and now run, our main product (Cimple) which last year turned profitable and will deliver £1m+ turnover. 

From this the technical experience I can help founders with is anything related to the day-to-day running of their business whether it be focussed on enterprise sales or SaaS. A particular area of strength is helping founders to build leading teams and do more with less financially. My market expertise is anything related to Supply Chains and working with Governments.

However, the most important experiences that I can bring are all of the harder sides of running a company. I have dealt with legal issues, financial distress, international disputes, employee wellbeing issues, redundancies, personal impacts and many more. ",2025-03-28
Colin MacLaughlin,Founder & Fractional CFO,Vulpine Advisory,"I'm a CFO with 13+ years of experience helping tech startups in fintech, healthtech, and data analytics. I scaled Crowdcube to profitability, raised $40M+ in VC funding, and expanded internationally. At Thriva, I led financial strategy, launched new B2B revenue streams, and managed restructuring.

Now, I run Vulpine Advisory, my own consultancy, where I work with Seed to Series A startups on fundraising, financial modeling, and strategy (clients include Kohort, PepperHQ, Masia Ventures, and Visible Health).

I help founders fine-tune their business models, navigate fundraising, scale operations, and build solid financial foundations.",2025-04-02
Ana Cavez,Enterprise Sales Leader,Amazon Web Services,"I'm a strategic business leader with 14 years of experience driving digital transformation and sustainable growth across Europe, Middle East, Africa and the Americas. I bring strong governance and commercial acumen to senior leadership roles, consistently delivering results in complex, multi-stakeholder environments.
In my current role, I lead a sales team focused on driving business transformation with enterprises. Working across industries including Financial Services, Retail, and Telecommunications, my role involves strategic oversight of multi-million-dollar programmes, risk management, and C-suite engagement to drive enterprise-wide innovation.
Additionally, as a Non-Executive Director at Leadership Learning Securing Excellence and an active Angel Investor, I contribute to board governance while providing strategic guidance to impact-driven technology startups, demonstrating my commitment to responsible business leadership and ESG principles.",2025-03-28
Joe Blake,CEO,Eppione,"Proven entrepreneur and business leader who has consistently delivered results across multiple sectors including cutting edge generative AI, enterprise software, financial services and telco. Twenty five years experience building and scaling tech start ups with two major exits under his belt at Feehenry (acquired by RedHat) and Artomatix (acquired by Unity). Multiple GM and interim leadership roles in larger, multinational organisations.
",2025-04-02
John Stamler,Partner,MPA Capital,"Experienced Board Member, Mentor and Advisor with a demonstrated history of working in the internet industry. Skilled in Leveraged Finance, Distressed Debt, Healthcare, Structured Finance, Investment Management, and Hedge Funds. Strong business development professional with a Bachelor of Arts (BA) focused in Economics and Organizational Behavioral Management from Brown University.",2025-04-02
Ty Zamkow,Co-Founder & CEO,Nolana AI,"Co-Founder and CEO of Nolana AI. Senior leader in tech with extensive people management experience gained from over 9 years at Amazon and 7 years as a co-founder of a software development agency. Driven by an unyielding passion for innovation. Thrives in dynamic environments where challenges require ideation, strategic thinking and meaningful stakeholder connections. Finds gratification in fostering the growth of talent, backed by a decade of rich experience in building and leading diverse teams through both periods of expansion and tightening business cycles. Holds a track record of launching products that have resonated with hundreds of millions of users, consistently translating into positive business outcomes.Holds an MBA from London Business School, specializing in leadership, innovation, and entrepreneurship. Core competencies include business strategy, advanced analytics, stakeholder management, artificial intelligence, and software development.",2025-03-25
Ralph Grayson,Managing Partner,Sainty Hird and Partners,"Ralph has over 30 years of board advisory and recruitment experience in the Financial Services sector. He is active in the recruitment and shaping of Executive and Supervisory Board management across a range of Financial Services, FinTech and aligned public and private businesses.

Ralph is an angel and early stage investor in multiple businesses, for whom he advises on board composition and executive teams. He was a co founder and seed investor in Boardex (exit to Thestreet.com), as well a range of other private and public companies including inter alia; Adimo, Adnit.io, Aquis Exchange, Artorius Wealth, Blend Media, Cloudhouse, ComMedica, The Disruption House, Enso Tyres, EnviroFresh, Hands In, Laundrapp, Novatrans, Pi-Top, Quorum, Starcount, Takumi, Tred, Wejo.

Ralph holds the Non Executive Directors Association NED Knowledge Assessment Certificate and the Financial Times Non Executive Diploma.

Ralph acts as an investor director, director and mentor for a number of accelerators and incubators such as AI Forge, FinTech Circle, Techstars, Startupbootcamp and Level39, as well as a range of family office and vc and pe investors.

Before co-founding Sainty, Hird & Partners in 1996, Ralph was a Partner at another international search firm for seven years. He was a co founder of SHP Associates, which successfully exited through a trade sale to Heidrick and Struggles.",
Stuart Small,Founder,The Revenue Engineerrs,"SENIOR SALES LEADER

Inspirational Sales and Marketing leader with extensive experience in high-tech organisations in both the US and EMEA. Proven track record of challenging established routine with a strong customer focus, accustomed to developing innovative solutions to meet market needs. Consistently drives change to enable growth, instilling belief and passion with the team.

I offer 30+ years of experience in successfully leading b2b sales and marketing teams in EMEA and NA.  Mostly in tech I have domain experience in a variety of segments including AdTech (Google), Martech (Silverpop, Marketo and IBM), Business Information (Reuters and OneSource), Security (Sophos), Climate Tech (M2030) and SalesTech/Content management (Showpad). 
",2025-03-25
